id,handedness,nationality,residence,language,gender,education,age
5ea511caa6974a4e8de26ac1,Ambidextrous,USA,USA,spanish,Female,PhD,34
60f1ddf2ba77ba7c771c936c,Right,American,United States of America,English,Female,Graduate degree,32
5c0676a61a20110001ea1a24,right,American,United States,English,Female,Vocational School Graduate,54
5f1230c4f57b2f06e2465477,right,United States,United States,English,male,some college,79
607f7f18d84d010ea2cd8664,Right,Black/White American,United States,english,female,High School Graduate,23
6229ee11f6b5405956544966,Right,American,United States,English,Female,Masters Degree,60
606b4092321de2bfbfa6b719,right,white,USA,english,female,bachelors,40
5e69873c938d32244e113c95,Right,American,United States of America,English,Male,Masters,66
608f2aa883599160c8b87a79,Right,American,United States,English,Female,University Degree,32
627e6d46440b9a1d01fb1d32,Right,American,United States,English,Female,College degree,38
